
Entering STAGE 100
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 36810.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	[PRESENCE OF A GOD] 30%
[E100  1]:	[HP: 25767.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.74
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.64
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.54
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  86.00 stacks
[  Borge]:	[HP:   223.97/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 5856.89/36810.0] [AP: 263.18] [Speed: 5.42] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.44
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 5591.24 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	  11.58
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.48
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.39
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 252.53 left
[E100  1]:	TAKE	   0.86, 5636.00 left
[E100  1]:	ENRAGE	  87.00 stacks
[  Borge]:	[HP:   252.53/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:  5636.0/36810.0] [AP: 263.18] [Speed: 5.37] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.21
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 5521.18 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	  11.76
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.66
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.57
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 230.24 left
[E100  1]:	TAKE	   0.86, 5565.95 left
[E100  1]:	ENRAGE	  88.00 stacks
[  Borge]:	[HP:   230.24/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 5565.95/36810.0] [AP: 263.18] [Speed: 5.32] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.39
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 5451.13 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  12.26
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.17
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.07
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 168.58 left
[E100  1]:	TAKE	   0.86, 5495.90 left
[E100  1]:	ENRAGE	  89.00 stacks
[  Borge]:	[HP:   168.58/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:  5495.9/36810.0] [AP: 263.18] [Speed: 5.27] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.88
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 5381.08 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  12.75
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.65
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.55
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 108.86 left
[E100  1]:	TAKE	   0.86, 5425.85 left
[E100  1]:	ENRAGE	  90.00 stacks
[  Borge]:	[HP:   108.86/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 5425.85/36810.0] [AP: 263.18] [Speed: 5.22] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  13.36
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 5160.19 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	  12.49
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.39
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.29
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 141.06 left
[E100  1]:	TAKE	   0.86, 5204.96 left
[E100  1]:	ENRAGE	  91.00 stacks
[  Borge]:	[HP:   141.06/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 5204.96/36810.0] [AP: 263.18] [Speed: 5.18] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  13.10
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 4939.30 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  12.94
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.84
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.74
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 85.66 left
[E100  1]:	TAKE	   0.86, 4984.07 left
[E100  1]:	ENRAGE	  92.00 stacks
[  Borge]:	[HP:    85.66/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4984.07/36810.0] [AP: 263.18] [Speed: 5.13] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  13.54
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 4869.25 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  13.41
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  13.30
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  13.20
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 28.56 left
[E100  1]:	TAKE	   0.86, 4914.02 left
[E100  1]:	ENRAGE	  93.00 stacks
[  Borge]:	[HP:    28.56/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4914.02/36810.0] [AP: 263.18] [Speed: 5.08] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  14.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 4799.20 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  13.86
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  13.75
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  13.64
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, -26.72 left
[  Borge]:	REVIVED, 1 left
[E100  1]:	TAKE	   0.86, 4843.97 left
[E100  1]:	ENRAGE	  94.00 stacks
[  Borge]:	[HP:   696.46/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4843.97/36810.0] [AP: 263.18] [Speed: 5.04] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.66
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 4729.15 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   8.56
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.50
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.43
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 620.05 left
[E100  1]:	TAKE	   0.86, 4773.91 left
[E100  1]:	ENRAGE	  95.00 stacks
[  Borge]:	[HP:   620.05/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4773.91/36810.0] [AP: 263.18] [Speed: 4.99] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.27
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 4508.26 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   9.14
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.07
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 540.51 left
[E100  1]:	TAKE	   0.86, 4537.82 left
[E100  1]:	ENRAGE	  96.00 stacks
[  Borge]:	[HP:   540.51/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4537.82/36810.0] [AP: 263.18] [Speed: 4.94] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.91
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 4423.00 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   9.80
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.72
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 459.39 left
[E100  1]:	TAKE	   0.86, 4452.55 left
[E100  1]:	ENRAGE	  97.00 stacks
[  Borge]:	[HP:   459.39/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4452.55/36810.0] [AP: 263.18] [Speed: 4.89] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  10.55
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 4186.90 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  10.42
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.33
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 383.67 left
[E100  1]:	TAKE	   0.86, 4216.46 left
[E100  1]:	ENRAGE	  98.00 stacks
[  Borge]:	[HP:   383.67/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4216.46/36810.0] [AP: 263.18] [Speed: 4.84] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.16
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 3950.80 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  11.02
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.93
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 309.75 left
[E100  1]:	TAKE	   0.86, 3980.36 left
[E100  1]:	ENRAGE	  99.00 stacks
[  Borge]:	[HP:   309.75/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 3980.36/36810.0] [AP: 263.18] [Speed: 4.80] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.75
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	EVADE
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	  11.30
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.21
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 274.53 left
[E100  1]:	TAKE	   0.86, 4025.13 left
[E100  1]:	ENRAGE	 100.00 stacks
[  Borge]:	[HP:   274.53/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 4025.13/36810.0] [AP: 263.18] [Speed: 4.75] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.03
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 3759.47 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	  11.17
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.09
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	 101.00 stacks
[  Borge]:	[HP:   404.08/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 3789.89/36810.0] [AP: 263.18] [Speed: 4.70] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 3524.24 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	  10.15
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.07
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	 102.00 stacks
[  Borge]:	[HP:   530.55/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 3554.66/36810.0] [AP: 263.18] [Speed: 5.16] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.98
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 3289.00 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   9.85
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.77
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.70
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 462.83 left
[E100  1]:	TAKE	   0.86, 3333.77 left
[E100  1]:	ENRAGE	 103.00 stacks
[  Borge]:	[HP:   462.83/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 3333.77/36810.0] [AP: 263.18] [Speed: 4.61] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  10.53
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 3218.95 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  10.42
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.33
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	 104.00 stacks
[  Borge]:	[HP:   497.15/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 3249.37/36810.0] [AP: 263.18] [Speed: 5.06] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  10.25
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 3134.55 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   9.82
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.74
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.66
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 467.13 left
[E100  1]:	TAKE	   0.86, 3179.32 left
[E100  1]:	ENRAGE	 105.00 stacks
[  Borge]:	[HP:   467.13/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 3179.32/36810.0] [AP: 263.18] [Speed: 4.51] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  10.49
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 2913.66 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  10.36
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.27
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 391.23 left
[E100  1]:	TAKE	   0.86, 2943.22 left
[E100  1]:	ENRAGE	 106.00 stacks
[  Borge]:	[HP:   391.23/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 2943.22/36810.0] [AP: 263.18] [Speed: 4.46] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.10
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 2828.40 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	  10.66
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  10.57
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 354.07 left
[E100  1]:	TAKE	   0.86, 2857.96 left
[E100  1]:	ENRAGE	 107.00 stacks
[  Borge]:	[HP:   354.07/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 2857.96/36810.0] [AP: 263.18] [Speed: 4.42] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.40
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 2592.31 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	  11.25
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.16
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 280.86 left
[E100  1]:	TAKE	   0.86, 2621.86 left
[E100  1]:	ENRAGE	 108.00 stacks
[  Borge]:	[HP:   280.86/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 2621.86/36810.0] [AP: 263.18] [Speed: 4.37] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  11.98
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 2507.04 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  11.86
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  11.77
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 205.92 left
[E100  1]:	TAKE	   0.86, 2536.60 left
[E100  1]:	ENRAGE	 109.00 stacks
[  Borge]:	[HP:   205.92/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:  2536.6/36810.0] [AP: 263.18] [Speed: 4.32] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  12.58
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 2421.78 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  12.46
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.36
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 132.77 left
[E100  1]:	TAKE	   0.86, 2451.34 left
[E100  1]:	ENRAGE	 110.00 stacks
[  Borge]:	[HP:   132.77/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 2451.34/36810.0] [AP: 263.18] [Speed: 4.28] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  13.17
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 2336.52 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	  13.04
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  12.93
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 61.35 left
[E100  1]:	TAKE	   0.86, 2366.07 left
[E100  1]:	ENRAGE	 111.00 stacks
[  Borge]:	[HP:    61.35/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 2366.07/36810.0] [AP: 263.18] [Speed: 4.23] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	  13.74
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 2251.25 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	  13.60
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	  13.50
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, -8.36 left
[  Borge]:	REVIVED, 0 left
[E100  1]:	TAKE	   0.86, 2280.81 left
[E100  1]:	ENRAGE	 112.00 stacks
[  Borge]:	[HP:   696.46/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 2280.81/36810.0] [AP: 263.18] [Speed: 4.18] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.66
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 2165.99 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   8.24
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.17
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 652.03 left
